/home/sherryli/xsli/softwares/anaconda3/envs/lightning/lib/python3.11/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
init(warm): 400 disp sweeps @ beta0 -> U/N -2.0685 (T=1.25 liquid)
rung  26: beta 2.0000  ESS   240.2/256  U/N -3.1690  sb 0.19%  1245s
saved smc_pilot_arm0_N100.pt  wall 1328s
n_heatbath=1: final U/N -3.1690  gap-to-eq +0.1070  1328s
init(warm): 400 disp sweeps @ beta0 -> U/N -2.0680 (T=1.25 liquid)
rung   0: beta 0.8495  ESS   153.6/256  U/N -2.1659  sb 0.07%  51s
rung   1: beta 0.8496  ESS   153.4/256  U/N -2.2334  sb 0.07%  102s
rung   2: beta 0.9130  ESS   153.6/256  U/N -2.2868  sb 0.08%  153s
rung   3: beta 0.9131  ESS   153.5/256  U/N -2.3645  sb 0.08%  204s
rung   4: beta 0.9924  ESS   153.6/256  U/N -2.4504  sb 0.08%  254s
rung   5: beta 0.9925  ESS   153.5/256  U/N -2.5116  sb 0.11%  305s
rung   6: beta 1.0650  ESS   153.6/256  U/N -2.5592  sb 0.08%  356s
rung   7: beta 1.0651  ESS   153.5/256  U/N -2.6168  sb 0.15%  407s
rung   8: beta 1.1399  ESS   153.6/256  U/N -2.6569  sb 0.07%  458s
rung   9: beta 1.1400  ESS   153.6/256  U/N -2.7093  sb 0.11%  509s
rung  10: beta 1.2258  ESS   153.6/256  U/N -2.7347  sb 0.12%  560s
rung  11: beta 1.2259  ESS   153.6/256  U/N -2.7762  sb 0.12%  611s
rung  12: beta 1.3309  ESS   153.6/256  U/N -2.8124  sb 0.19%  662s
rung  13: beta 1.3310  ESS   153.6/256  U/N -2.8561  sb 0.17%  712s
rung  14: beta 1.4348  ESS   153.6/256  U/N -2.8819  sb 0.14%  763s
rung  15: beta 1.4447  ESS   153.6/256  U/N -2.9229  sb 0.16%  814s
rung  16: beta 1.4448  ESS   153.6/256  U/N -2.9290  sb 0.08%  865s
rung  17: beta 1.5535  ESS   153.6/256  U/N -2.9322  sb 0.12%  916s
rung  18: beta 1.5536  ESS   153.5/256  U/N -2.9766  sb 0.19%  967s
rung  19: beta 1.6809  ESS   153.6/256  U/N -2.9808  sb 0.13%  1018s
rung  20: beta 1.6810  ESS   153.6/256  U/N -3.0226  sb 0.18%  1069s
rung  21: beta 1.7996  ESS   153.6/256  U/N -3.0272  sb 0.13%  1120s
rung  22: beta 1.7997  ESS   153.6/256  U/N -3.0671  sb 0.15%  1170s
rung  23: beta 1.9134  ESS   153.6/256  U/N -3.0842  sb 0.08%  1222s
rung  24: beta 1.9135  ESS   153.6/256  U/N -3.1100  sb 0.12%  1272s
rung  25: beta 2.0000  ESS   213.3/256  U/N -3.1298  sb 0.11%  1323s
saved smc_pilot_arm0_N100.pt  wall 1406s
n_heatbath=2: final U/N -3.1298  gap-to-eq +0.1462  1406s
init(warm): 400 disp sweeps @ beta0 -> U/N -2.0680 (T=1.25 liquid)
rung   0: beta 0.8553  ESS   153.6/256  U/N -2.1656  sb 0.07%  60s
rung   1: beta 0.8554  ESS   153.4/256  U/N -2.2569  sb 0.10%  121s
rung   2: beta 0.9158  ESS   153.6/256  U/N -2.3187  sb 0.07%  181s
rung   3: beta 0.9159  ESS   153.5/256  U/N -2.3900  sb 0.10%  242s
rung   4: beta 0.9867  ESS   153.6/256  U/N -2.4358  sb 0.09%  302s
rung   5: beta 0.9868  ESS   153.5/256  U/N -2.5105  sb 0.07%  363s
rung   6: beta 1.0668  ESS   153.6/256  U/N -2.5526  sb 0.07%  423s
rung   7: beta 1.0669  ESS   153.5/256  U/N -2.6353  sb 0.11%  484s
rung   8: beta 1.1335  ESS   153.6/256  U/N -2.6556  sb 0.16%  544s
rung   9: beta 1.1336  ESS   153.5/256  U/N -2.7081  sb 0.11%  604s
rung  10: beta 1.2235  ESS   153.6/256  U/N -2.7401  sb 0.12%  665s
rung  11: beta 1.2236  ESS   153.6/256  U/N -2.7995  sb 0.16%  725s
rung  12: beta 1.3114  ESS   153.6/256  U/N -2.8210  sb 0.16%  786s
rung  13: beta 1.3115  ESS   153.6/256  U/N -2.8799  sb 0.18%  846s
rung  14: beta 1.4029  ESS   153.6/256  U/N -2.9010  sb 0.14%  907s
rung  15: beta 1.4030  ESS   153.6/256  U/N -2.9431  sb 0.20%  967s
rung  16: beta 1.5054  ESS   153.6/256  U/N -2.9556  sb 0.13%  1027s
rung  17: beta 1.5055  ESS   153.6/256  U/N -2.9931  sb 0.19%  1088s
rung  18: beta 1.6248  ESS   153.6/256  U/N -3.0191  sb 0.14%  1148s
rung  19: beta 1.6249  ESS   153.6/256  U/N -3.0466  sb 0.18%  1209s
rung  20: beta 1.7570  ESS   153.6/256  U/N -3.0521  sb 0.13%  1269s
rung  21: beta 1.7571  ESS   153.6/256  U/N -3.0846  sb 0.11%  1330s
rung  22: beta 1.8720  ESS   153.6/256  U/N -3.0863  sb 0.17%  1390s
rung  23: beta 1.9076  ESS   153.6/256  U/N -3.1256  sb 0.19%  1450s
rung  24: beta 1.9077  ESS   153.6/256  U/N -3.1400  sb 0.20%  1511s
rung  25: beta 2.0000  ESS   209.7/256  U/N -3.1442  sb 0.16%  1571s
saved smc_pilot_arm0_N100.pt  wall 1654s
n_heatbath=4: final U/N -3.1442  gap-to-eq +0.1318  1654s
init(warm): 400 disp sweeps @ beta0 -> U/N -2.0680 (T=1.25 liquid)
rung   0: beta 0.8473  ESS   153.6/256  U/N -2.1861  sb 0.05%  80s
rung   1: beta 0.8474  ESS   153.5/256  U/N -2.2516  sb 0.05%  160s
rung   2: beta 0.8996  ESS   153.6/256  U/N -2.3335  sb 0.07%  239s
rung   3: beta 0.8997  ESS   153.5/256  U/N -2.3902  sb 0.10%  319s
rung   4: beta 0.9681  ESS   153.6/256  U/N -2.4240  sb 0.09%  399s
rung   5: beta 0.9682  ESS   153.5/256  U/N -2.4976  sb 0.11%  479s
rung   6: beta 1.0442  ESS   153.6/256  U/N -2.5293  sb 0.09%  559s
rung   7: beta 1.0443  ESS   153.6/256  U/N -2.6021  sb 0.11%  638s
rung   8: beta 1.1270  ESS   153.6/256  U/N -2.6277  sb 0.17%  718s
rung   9: beta 1.1271  ESS   153.6/256  U/N -2.7042  sb 0.08%  798s
rung  10: beta 1.1999  ESS   153.6/256  U/N -2.7060  sb 0.10%  878s
rung  11: beta 1.2058  ESS   153.6/256  U/N -2.7514  sb 0.11%  958s
rung  12: beta 1.2094  ESS   153.6/256  U/N -2.7601  sb 0.11%  1037s
rung  13: beta 1.2095  ESS   153.6/256  U/N -2.7716  sb 0.13%  1117s
